V1	V2
100534452	GO:0005131,GO:0005576,GO:0005179,GO:0005615,GO:0007165,GO:0070186,GO:0050996,GO:0060612
100534453	GO:0042626,GO:0016887,GO:0055085,GO:0005524,GO:0016021,GO:0000166,GO:0016020,GO:0015462,GO:0015562,GO:0019534,GO:0009636
100534454	GO:0006351,GO:0003899,GO:0003677,GO:0005634
100534455	,GO:0004364,GO:0005737,GO:0006749,GO:0005515
100534456	GO:0016298,GO:0016020,GO:0016787,GO:0005886,GO:0006629,GO:0016042,GO:0008202,GO:0008203,GO:0005829,GO:0019433,GO:0005901,GO:0005811,GO:0047372,GO:0033878
100534457	GO:0014823,GO:0048565,GO:0001570,GO:0001666,GO:0015671,GO:0019825,GO:0020037,GO:0046872,GO:0005344
100534460	GO:0046872,GO:0008270,GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0043565,GO:0004879,GO:0030522
100534461	GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534462	GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534464	GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534465	GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534467	GO:0000981,GO:0005634,GO:0003677,GO:0003700,GO:0006355
100534468	GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0043565
100534469	GO:0000981,GO:0003677,GO:0006355
100534470	GO:0043565,GO:0003700,GO:0006355,GO:0003677,GO:0005634,GO:0001525,GO:0048514,GO:0051091
100534471	GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534473	
100534474	GO:0007589,GO:0008536,GO:0006886,GO:0005515,GO:0005634,GO:0005737,GO:0015031
100534475	GO:0016874,GO:0006511,GO:0016579,GO:0004843,GO:0016787,GO:0016020,GO:0008233,GO:0006508,GO:0008234,GO:0005783,GO:0005789,GO:0018215
100534476	GO:0005634,GO:0005737
100534477	,GO:0005576
100534478	GO:0007218,GO:0007631,GO:0030431,GO:0033555,GO:0042594,GO:0042746,GO:0005783
100534479	GO:0006935,GO:0006952,GO:0008009,GO:0006955,GO:0005576,GO:0005153,GO:0030593,GO:0042119
100534480	GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0005515
100534482	GO:0008194,GO:0016740,GO:0016020,GO:0016021,GO:0016757,GO:0015020
100534483	GO:0004602,GO:0006979,GO:0055114
100534484	GO:0016020,GO:0016021,GO:0022857,GO:0055085,GO:0001889,GO:0007420,GO:0055056,GO:0008645,GO:0046323,GO:1904659
100534485	GO:0005854,GO:0015031
100534486	GO:0005183,GO:0005179,GO:0007165,GO:0005576,GO:0007275
100534487	GO:0043010,GO:0007420,GO:0007275,GO:0005576,GO:0005179
100534488	GO:0006355,GO:0003677,GO:0005634,GO:0046983,GO:0007517,GO:0007275,GO:0030154
100534489	GO:0007517,GO:0046983,GO:0006355,GO:0003677,GO:0005634,GO:0007275,GO:0030154
100534490	GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0055085,GO:0120020,GO:0032367,GO:0002040,GO:0010874,GO:0120009
